,BRCA_vs_rest,CCRCC_vs_rest,COAD_vs_rest,GBM_vs_rest,HNSCC_vs_rest,LSCC_vs_rest,LUAD_vs_rest,OV_vs_rest,PDAC_vs_rest,UCEC_vs_rest
cosg,0.1155247688293457,0.09168624877929688,0.0897376537322998,0.08303689956665039,0.08589673042297363,0.07954812049865723,0.08066987991333008,0.08366012573242188,0.08025383949279785,0.08274054527282715
scanpy_wilcoxon,0.7517035007476807,0.32544565200805664,0.2849886417388916,0.269974946975708,0.2668752670288086,0.2711451053619385,0.2721407413482666,0.27869224548339844,0.29294252395629883,0.27964234352111816
scanpy_t-test,0.1777646541595459,0.10529327392578125,0.100372314453125,0.1160285472869873,0.10170388221740723,0.10489416122436523,0.10618424415588379,0.11699819564819336,0.10398602485656738,0.10357666015625
yomix,0.07621932029724121,0.041024208068847656,0.04455971717834473,0.041397809982299805,0.040250539779663086,0.045693397521972656,0.06024479866027832,0.03973889350891113,0.04316258430480957,0.04145312309265137
